[187]   valid_0's ndcg@1: 0.503747      valid_0's error: 0.632109
[188]   valid_0's ndcg@1: 0.504093      valid_0's error: 0.632351
[189]   valid_0's ndcg@1: 0.503863      valid_0's error: 0.632199
[190]   valid_0's ndcg@1: 0.504093      valid_0's error: 0.632308
[191]   valid_0's ndcg@1: 0.503978      valid_0's error: 0.632234
[192]   valid_0's ndcg@1: 0.503747      valid_0's error: 0.63214
[193]   valid_0's ndcg@1: 0.503978      valid_0's error: 0.632347
[194]   valid_0's ndcg@1: 0.503286      valid_0's error: 0.632036
[195]   valid_0's ndcg@1: 0.503978      valid_0's error: 0.632366
[196]   valid_0's ndcg@1: 0.503286      valid_0's error: 0.632044
[197]   valid_0's ndcg@1: 0.503632      valid_0's error: 0.632172
[198]   valid_0's ndcg@1: 0.503517      valid_0's error: 0.632245
[199]   valid_0's ndcg@1: 0.503747      valid_0's error: 0.63239
[200]   valid_0's ndcg@1: 0.503632      valid_0's error: 0.632343
[201]   valid_0's ndcg@1: 0.503863      valid_0's error: 0.63243
[202]   valid_0's ndcg@1: 0.503978      valid_0's error: 0.632592
[203]   valid_0's ndcg@1: 0.503747      valid_0's error: 0.632526
[204]   valid_0's ndcg@1: 0.503863      valid_0's error: 0.632518
[205]   valid_0's ndcg@1: 0.503863      valid_0's error: 0.632599
[206]   valid_0's ndcg@1: 0.503863      valid_0's error: 0.632552
[207]   valid_0's ndcg@1: 0.503632      valid_0's error: 0.632554
[208]   valid_0's ndcg@1: 0.503517      valid_0's error: 0.63255
[209]   valid_0's ndcg@1: 0.503517      valid_0's error: 0.632396
[210]   valid_0's ndcg@1: 0.503632      valid_0's error: 0.632494
[211]   valid_0's ndcg@1: 0.504093      valid_0's error: 0.632774
[212]   valid_0's ndcg@1: 0.503978      valid_0's error: 0.632581
[213]   valid_0's ndcg@1: 0.503632      valid_0's error: 0.632424
[214]   valid_0's ndcg@1: 0.503055      valid_0's error: 0.632231
[215]   valid_0's ndcg@1: 0.503055      valid_0's error: 0.632262
[216]   valid_0's ndcg@1: 0.503055      valid_0's error: 0.63225
[217]   valid_0's ndcg@1: 0.503171      valid_0's error: 0.63233
[218]   valid_0's ndcg@1: 0.50294       valid_0's error: 0.632309
[219]   valid_0's ndcg@1: 0.50294       valid_0's error: 0.63229
[220]   valid_0's ndcg@1: 0.503055      valid_0's error: 0.632437
[221]   valid_0's ndcg@1: 0.50294       valid_0's error: 0.632408
[222]   valid_0's ndcg@1: 0.502825      valid_0's error: 0.632356
[223]   valid_0's ndcg@1: 0.503286      valid_0's error: 0.632652
[224]   valid_0's ndcg@1: 0.503055      valid_0's error: 0.63258
[225]   valid_0's ndcg@1: 0.503286      valid_0's error: 0.632693
[226]   valid_0's ndcg@1: 0.50294       valid_0's error: 0.632501
[227]   valid_0's ndcg@1: 0.503286      valid_0's error: 0.632679
[228]   valid_0's ndcg@1: 0.503401      valid_0's error: 0.632938
[229]   valid_0's ndcg@1: 0.503401      valid_0's error: 0.632947
[230]   valid_0's ndcg@1: 0.503632      valid_0's error: 0.63304
[231]   valid_0's ndcg@1: 0.503747      valid_0's error: 0.633131
[232]   valid_0's ndcg@1: 0.503517      valid_0's error: 0.632963
[233]   valid_0's ndcg@1: 0.503401      valid_0's error: 0.633009
[234]   valid_0's ndcg@1: 0.503171      valid_0's error: 0.632981
[235]   valid_0's ndcg@1: 0.503286      valid_0's error: 0.633069
[236]   valid_0's ndcg@1: 0.503517      valid_0's error: 0.633098
[237]   valid_0's ndcg@1: 0.503632      valid_0's error: 0.633176
[238]   valid_0's ndcg@1: 0.503747      valid_0's error: 0.633244
[239]   valid_0's ndcg@1: 0.504093      valid_0's error: 0.63345
[240]   valid_0's ndcg@1: 0.503863      valid_0's error: 0.633338
[241]   valid_0's ndcg@1: 0.503747      valid_0's error: 0.633276
[242]   valid_0's ndcg@1: 0.504208      valid_0's error: 0.63356
[243]   valid_0's ndcg@1: 0.504324      valid_0's error: 0.633527
[244]   valid_0's ndcg@1: 0.504439      valid_0's error: 0.6337
[245]   valid_0's ndcg@1: 0.504785      valid_0's error: 0.633741
[246]   valid_0's ndcg@1: 0.504785      valid_0's error: 0.633815
[247]   valid_0's ndcg@1: 0.505016      valid_0's error: 0.63395
[248]   valid_0's ndcg@1: 0.504785      valid_0's error: 0.633848
[249]   valid_0's ndcg@1: 0.5049        valid_0's error: 0.63393
[250]   valid_0's ndcg@1: 0.504785      valid_0's error: 0.633875
[251]   valid_0's ndcg@1: 0.5049        valid_0's error: 0.634014
[252]   valid_0's ndcg@1: 0.505016      valid_0's error: 0.634037
[253]   valid_0's ndcg@1: 0.505131      valid_0's error: 0.634105
[254]   valid_0's ndcg@1: 0.505131      valid_0's error: 0.63408
[255]   valid_0's ndcg@1: 0.505246      valid_0's error: 0.634115
[256]   valid_0's ndcg@1: 0.505131      valid_0's error: 0.634054
[257]   valid_0's ndcg@1: 0.505016      valid_0's error: 0.633946
[258]   valid_0's ndcg@1: 0.505477      valid_0's error: 0.634151
[259]   valid_0's ndcg@1: 0.505823      valid_0's error: 0.634379
[260]   valid_0's ndcg@1: 0.505592      valid_0's error: 0.634329
[261]   valid_0's ndcg@1: 0.505361      valid_0's error: 0.634264
[262]   valid_0's ndcg@1: 0.505131      valid_0's error: 0.634208
[263]   valid_0's ndcg@1: 0.505016      valid_0's error: 0.634177
[264]   valid_0's ndcg@1: 0.505016      valid_0's error: 0.63423
[265]   valid_0's ndcg@1: 0.505016      valid_0's error: 0.634202
[266]   valid_0's ndcg@1: 0.505016      valid_0's error: 0.63416
[267]   valid_0's ndcg@1: 0.504785      valid_0's error: 0.634088
[268]   valid_0's ndcg@1: 0.505246      valid_0's error: 0.634337
[269]   valid_0's ndcg@1: 0.505361      valid_0's error: 0.634381
[270]   valid_0's ndcg@1: 0.505477      valid_0's error: 0.634485
[271]   valid_0's ndcg@1: 0.505938      valid_0's error: 0.63469
[272]   valid_0's ndcg@1: 0.505823      valid_0's error: 0.634647
[273]   valid_0's ndcg@1: 0.505707      valid_0's error: 0.634644
[274]   valid_0's ndcg@1: 0.505707      valid_0's error: 0.634611
[275]   valid_0's ndcg@1: 0.505592      valid_0's error: 0.634671
[276]   valid_0's ndcg@1: 0.505477      valid_0's error: 0.634649
[277]   valid_0's ndcg@1: 0.505361      valid_0's error: 0.634502
[278]   valid_0's ndcg@1: 0.505361      valid_0's error: 0.634536
[279]   valid_0's ndcg@1: 0.505477      valid_0's error: 0.634599
[280]   valid_0's ndcg@1: 0.505938      valid_0's error: 0.634866
[281]   valid_0's ndcg@1: 0.506169      valid_0's error: 0.634958
[282]   valid_0's ndcg@1: 0.506169      valid_0's error: 0.634931
[283]   valid_0's ndcg@1: 0.506284      valid_0's error: 0.635069
[284]   valid_0's ndcg@1: 0.506399      valid_0's error: 0.635115
[285]   valid_0's ndcg@1: 0.506514      valid_0's error: 0.635072
[286]   valid_0's ndcg@1: 0.506169      valid_0's error: 0.63488
[287]   valid_0's ndcg@1: 0.506284      valid_0's error: 0.635048
[288]   valid_0's ndcg@1: 0.505707      valid_0's error: 0.634769
[289]   valid_0's ndcg@1: 0.505592      valid_0's error: 0.634704
[290]   valid_0's ndcg@1: 0.505823      valid_0's error: 0.634781
[291]   valid_0's ndcg@1: 0.506169      valid_0's error: 0.635011
[292]   valid_0's ndcg@1: 0.506514      valid_0's error: 0.635109
[293]   valid_0's ndcg@1: 0.506399      valid_0's error: 0.635152
[294]   valid_0's ndcg@1: 0.50663       valid_0's error: 0.635219
[295]   valid_0's ndcg@1: 0.50686       valid_0's error: 0.635318
[296]   valid_0's ndcg@1: 0.507322      valid_0's error: 0.635561
[297]   valid_0's ndcg@1: 0.506976      valid_0's error: 0.635424
[298]   valid_0's ndcg@1: 0.507206      valid_0's error: 0.635531
[299]   valid_0's ndcg@1: 0.506976      valid_0's error: 0.63548
[300]   valid_0's ndcg@1: 0.507437      valid_0's error: 0.63577
[301]   valid_0's ndcg@1: 0.507322      valid_0's error: 0.635759
[302]   valid_0's ndcg@1: 0.507437      valid_0's error: 0.635798
[303]   valid_0's ndcg@1: 0.507091      valid_0's error: 0.635594
[304]   valid_0's ndcg@1: 0.507091      valid_0's error: 0.635595
[305]   valid_0's ndcg@1: 0.50686       valid_0's error: 0.635445
[306]   valid_0's ndcg@1: 0.506976      valid_0's error: 0.635532
[307]   valid_0's ndcg@1: 0.507437      valid_0's error: 0.635745
[308]   valid_0's ndcg@1: 0.507667      valid_0's error: 0.635889
[309]   valid_0's ndcg@1: 0.507552      valid_0's error: 0.635853
[310]   valid_0's ndcg@1: 0.507783      valid_0's error: 0.635942
[311]   valid_0's ndcg@1: 0.508129      valid_0's error: 0.636142
[312]   valid_0's ndcg@1: 0.508129      valid_0's error: 0.636168
[313]   valid_0's ndcg@1: 0.508013      valid_0's error: 0.63608
[314]   valid_0's ndcg@1: 0.508244      valid_0's error: 0.636183
[315]   valid_0's ndcg@1: 0.508129      valid_0's error: 0.636145
[316]   valid_0's ndcg@1: 0.508013      valid_0's error: 0.63604
[317]   valid_0's ndcg@1: 0.507783      valid_0's error: 0.635971
[318]   valid_0's ndcg@1: 0.507322      valid_0's error: 0.635692
[319]   valid_0's ndcg@1: 0.507322      valid_0's error: 0.635709
[320]   valid_0's ndcg@1: 0.507091      valid_0's error: 0.635538
[321]   valid_0's ndcg@1: 0.507206      valid_0's error: 0.635675
[322]   valid_0's ndcg@1: 0.507091      valid_0's error: 0.635619
[323]   valid_0's ndcg@1: 0.506976      valid_0's error: 0.635564
[324]   valid_0's ndcg@1: 0.50686       valid_0's error: 0.635593
[325]   valid_0's ndcg@1: 0.506284      valid_0's error: 0.635391
